C01|弧度与弧长|定义弧度；弧长反求半径；链轮转角|看到弧长就先区分弧与弦。以圆心为顶点，θ=s/r；一圈为2π rad。多个轮子的弧长可相同，转角未必相同。|角度制数值不能直接代入s=rθ。|s24_42:1(a)|本题只考定义。必须同时交代圆心角和弧长等于半径这一条件；两者合成一个完整定义，得B1。|One radian is the angle subtended at the centre of a circle by an arc equal in length to the radius.
C02|角速度周期与转角|由周期求ω；由ω求转角；联立加速度求周期|先判断题目给的是一整圈时间还是部分转动时间。完整一圈用ω=2π/T；部分转动用θ=ωt；已知a和r可用T=2π√(r/a)。|分钟、小时先转秒；ω的单位不是Hz。|s23_41:2(c)(ii)|承接前问r=0.049 m、a=5.0 m s⁻²。联立a=rω²与ω=2π/T（C1），得T=2π√(0.049/5.0)=0.62 s（A1）。半径必须是水平圆轨道半径。|The angular speed is the angle swept out per unit time.
C03|实际轨道半径与线速度|槽内球心；圆锥摆投影；纬度圆半径|画出转轴到运动物体中心的垂直距离，再用v=rω。球有大小时扣除球半径；纬度φ用R cosφ；摆线与竖直夹角α用L sinα。|不能默认题中最大的长度就是r。|s24_42:1(c)(i)|球心半径为0.093−0.012=0.081 m。写v=rω（C1），ω=0.68/0.081=8.4 rad s⁻¹（A1）。如果直接用槽的0.093 m，物理模型已错。|The radius is the perpendicular distance from the rotation axis to the centre of the moving object.
C04|向心加速度大小|a=v²/r；a=rω²；a=vω；数量级|已知v选前式，已知ω选第二式。公式给的是加速度大小；方向另写指向圆心。比较时注明固定v还是固定ω。|固定v时a与r成反比，固定ω时a与r成正比，不能混用。|s24_42:1(c)(ii)|沿用r=0.081 m。a=v²/r（C1），代入0.68²/0.081=5.7 m s⁻²（A1）。也可用上一问ω，但中间不宜过早舍入。|Centripetal acceleration is directed towards the centre of the circular path.
C05|匀速圆周的矢量与方向|切向速度；向心加速度；速度改变而速率不变|速度沿轨迹切线，加速度与合力指向圆心。大小恒定不代表矢量恒定；垂直力改变运动方向而不改变速率。|不要写“匀速所以加速度为零”，也不要把速度画成径向。|w25_41:1(a)|比较矢量性质：速度和加速度的大小都不变（B1）；两者始终相互垂直（B1）。只说“两个都恒定”会漏掉方向在变。|Velocity and acceleration have constant magnitudes and are always perpendicular to each other.
C06|同一刚体不同位置比较|共用ω；v随r；a随r|同一刚体各点同时间转过同角度，因此ω相同。随后分别用v=rω、a=rω²判断内外侧大小，而不是背所有量都相同。|只适用于一起转动的刚体，不适用于独立卫星。|s24_42:1(d)|第二块更靠近转轴：角速度相同（B1），线速度较小（B1），向心加速度较小（B1）。原因是同一ω下二者均正比于r。|Both pieces have the same angular speed, but the inner piece has a smaller linear speed and centripetal acceleration.
C07|链轮传动与约束改变|共用链速；角速度比；换齿轮后的量变|不打滑的链条给两个接触轮缘相同线速度，故r₁ω₁=r₂ω₂。先按题干找固定的是车速、后轮转速还是踏频，再比较新旧传动。|与同一刚体共ω不同；不能不读固定条件就套比例。|s25_42:1(c)|按本题改变后的条件，同样时间点X移动距离更小，即链速减小（B1）；因此踏板角速度减小（B1）。完整理解还要用另一轮的半径约束解释链速来源。|The chain moves a smaller distance in the same time, so the angular speed of the pedals decreases.
C08|真实受力合成与临界条件|圆锥摆分解；地面接触力；振动失去接触|先画真实力，再沿向心方向列ΣF=ma；没有额外的“向心力”箭头。接触临界用N=0，悬线松弛用张力为零。|mg并非总沿圆心方向；临界不是总合力为零。|m24_42:3(b)(i)|在最高点接触力降至零时，重力独自提供向下加速度，所以a=g（C1）。简谐运动最大加速度ω²x₀=g，x₀=9.81/39²=6.4×10⁻³ m（A1）。|At the limit of contact, the normal contact force is zero and the downward acceleration equals g.
C09|近似合理性判断|比较a与g；比较合力与重力|要用无量纲比或明确数量级支持“可忽略”。a≪g意味着ma≪mg，再回到题目问的支撑力是否几乎等于重力。|“很慢”“很小”不能替代被比较的物理量。|w23_42:1(d)|前问a约5.5×10⁻⁷ m s⁻²，远小于9.81（B1）。所需向心合力远小于重力，因此时针施加的力近似与重力等大反向，变化可忽略（B1）。|The centripetal acceleration is negligible compared with g, so the resultant force is negligible compared with the weight.
C10|圆周运动投影成简谐运动|几何投影；相位；振幅是半幅|先从图判断投影是R sinθ还是R cosθ，再代θ=ωt。投影振幅为圆半径，不是直径；投影位置不等于物体真实位置。|投影加速度指向投影平衡点，不必指向屏幕上的圆心。|w25_41:1(c)(iii)|前两问已有x=R sinθ及θ=ωt。将第二式代入第一式，写出x=R sinωt，显示代入过程即A1。这是把二维匀速圆周映射为一维振动。|The projection follows x = R sin ωt and therefore has the displacement equation of simple harmonic motion.
