类型,名称,状态,日期,独立题目,得分,错误类别,解释证据,复测日期,复测结果
C01,弧度与弧长,未学,,,,,,,
C02,角速度周期与转角,未学,,,,,,,
C03,实际轨道半径与线速度,未学,,,,,,,
C04,向心加速度大小,未学,,,,,,,
C05,匀速圆周的矢量与方向,未学,,,,,,,
C06,同一刚体不同位置比较,未学,,,,,,,
C07,链轮传动与约束改变,未学,,,,,,,
C08,真实受力合成与临界条件,未学,,,,,,,
C09,近似合理性判断,未学,,,,,,,
C10,圆周运动投影成简谐运动,未学,,,,,,,
C11,库仑力提供向心力,未学,,,,,,,
G01,引力定律场强与场线,未学,,,,,,,
G02,多个引力场的叠加与零点,未学,,,,,,,
G03,引力势的负号与图像,未学,,,,,,,
G04,引力势能与逃逸能量,未学,,,,,,,
G05,卫星圆轨道与线性图,未学,,,,,,,
G06,同步轨道与自转参照系,未学,,,,,,,
T01,热平衡绝对温标与换算,未学,,,,,,,
T02,测温性质标定与仪器选择,未学,,,,,,,
T03,比热容热平衡与混合,未学,,,,,,,
T04,潜热与分阶段热量守恒,未学,,,,,,,
T05,电加热曲线与热量修正,未学,,,,,,,
K01,理想气体状态方程,未学,,,,,,,
K02,摩尔分子数与分子尺度,未学,,,,,,,
K03,气体微观模型与压强解释,未学,,,,,,,
K04,平均动能均方根速率与图像,未学,,,,,,,
H01,内能的微观构成与状态变化,未学,,,,,,,
H02,第一定律功的符号与热容量,未学,,,,,,,
H03,热力学循环与表格,未学,,,,,,,
S01,简谐判据与恢复加速度,未学,,,,,,,
S02,简谐运动图像相位与运动量,未学,,,,,,,
S03,简谐能量与位移图,未学,,,,,,,
S04,阻尼类型与返回平衡图,未学,,,,,,,
S05,受迫振动与共振,未学,,,,,,,
E01,电场定义场线与导体,未学,,,,,,,
E02,库仑定律与点电荷,未学,,,,,,,
E03,场强叠加比例与零场,未学,,,,,,,
E04,电势与负梯度图像,未学,,,,,,,
E05,电势能释放与平衡,未学,,,,,,,
E06,匀强电场平衡与偏转,未学,,,,,,,
D01,电容定义与电荷电势关系,未学,,,,,,,
D02,电容网络与公式推导,未学,,,,,,,
D03,电容储能与图下面积,未学,,,,,,,
D04,断开电源后的电荷重新分配,未学,,,,,,,
D05,电容指数放电与原因,未学,,,,,,,
D06,时间常量与图像直线化,未学,,,,,,,
B01,磁场来源与场线图,未学,,,,,,,
B02,通电导线受力与相互作用,未学,,,,,,,
B03,运动电荷磁力大小与方向,未学,,,,,,,
B04,磁场圆轨道与周期,未学,,,,,,,
B05,速度选择器,未学,,,,,,,
B06,霍尔电压与探头,未学,,,,,,,
I01,磁通与磁通链,未学,,,,,,,
I02,法拉第定律与感应电动势大小,未学,,,,,,,
I03,楞次定律方向与能量链,未学,,,,,,,
I04,磁通图与感应电压图,未学,,,,,,,
A01,交流表达式与波形参数,未学,,,,,,,
A02,有效值平均功率与非正弦波,未学,,,,,,,
A03,半波全波整流与二极管路径,未学,,,,,,,
A04,电容平滑与负载影响,未学,,,,,,,
Q01,光子能量动量与数量,未学,,,,,,,
Q02,光电效应阈值与图像,未学,,,,,,,
Q03,波粒二象性的实验证据,未学,,,,,,,
Q04,德布罗意波长与衍射变化,未学,,,,,,,
Q05,离散能级与线光谱,未学,,,,,,,
Q06,正负电子湮灭与守恒,未学,,,,,,,
Q07,辐射压力与光子动量通量,未学,,,,,,,
N01,质量亏损与结合能,未学,,,,,,,
N02,结合能曲线与裂变聚变,未学,,,,,,,
N03,衰变随机自发与探测计数,未学,,,,,,,
N04,活度指数律与半衰图像,未学,,,,,,,
N05,核反应守恒与粒子识别,未学,,,,,,,
N06,反应能量反应次数与功率,未学,,,,,,,
M01,X射线产生与最短波长,未学,,,,,,,
M02,指数衰减分层路径与对比度,未学,,,,,,,
M03,CT分层多角度重建,未学,,,,,,,
M04,超声压电换能与回波定位,未学,,,,,,,
M05,声阻抗反射透射与耦合剂,未学,,,,,,,
M06,PET示踪与图像形成,未学,,,,,,,
Z01,光度辐射通量与标准烛光,未学,,,,,,,
Z02,斯特藩定律与恒星半径,未学,,,,,,,
Z03,维恩定律谱峰与偏差,未学,,,,,,,
Z04,谱线红移与退行速度,未学,,,,,,,
Z05,哈勃关系与宇宙膨胀证据,未学,,,,,,,
X01,综合题中的AS基础接口,未学,,,,,,,
